what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1327903478154
stopped,bundle,com.python.pydev.codecompletion,2.2.4.2011121401,"com.python.pydev.codecompletion",1327903478154
stopped,bundle,com.python.pydev.refactoring,2.2.4.2011121401,"com.python.pydev.refactoring",1327903478154
stopped,bundle,com.python.pydev.analysis,2.2.4.2011121401,"com.python.pydev.analysis",1327903478154
stopped,bundle,com.python.pydev.debug,2.2.4.2011121401,"com.python.pydev.debug",1327903478154
stopped,bundle,com.python.pydev.fastparser,2.2.4.2011121401,"com.python.pydev.fastparser",1327903478155
stopped,bundle,com.python.pydev,2.2.4.2011121401,"com.python.pydev",1327903478155
stopped,bundle,org.python.pydev.django,2.2.4.2011121401,"org.python.pydev.django",1327903478155
stopped,bundle,org.python.pydev.customizations,2.2.4.2011121401,"org.python.pydev.customizations",1327903478155
stopped,bundle,org.python.pydev.debug,2.2.4.2011121401,"org.python.pydev.debug",1327903478162
stopped,bundle,org.python.pydev.refactoring,2.2.4.2011121401,"org.python.pydev.refactoring",1327903478162
stopped,bundle,org.python.pydev,2.2.4.2011121401,"org.python.pydev",1327903478255
stopped,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1327903478255
stopped,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1327903478303
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1327903478303
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui",1327903478303
stopped,bundle,org.eclipse.php.server.ui,3.0.0.v20110516-1100,"org.eclipse.php.server.ui",1327903478303
stopped,bundle,org.eclipse.php.debug.ui,3.0.0.v20110516-1100,"org.eclipse.php.debug.ui",1327903478303
stopped,bundle,org.eclipse.php.debug.core,3.0.0.v20110516-1100,"org.eclipse.php.debug.core",1327903478303
stopped,bundle,org.eclipse.php.ui,3.0.0.v20110516-1100,"org.eclipse.php.ui",1327903478303
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1327903478303
stopped,bundle,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.ui",1327903478304
stopped,bundle,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.ui",1327903478304
stopped,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1327903478304
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1327903478304
stopped,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1327903478304
stopped,bundle,org.eclipse.dltk.testing,3.0.0.v20110423,"org.eclipse.dltk.testing",1327903478304
stopped,bundle,org.eclipse.dltk.debug.ui,3.0.0.v20110423,"org.eclipse.dltk.debug.ui",1327903478304
stopped,bundle,org.eclipse.dltk.formatter,3.0.0.v20110609-1525,"org.eclipse.dltk.formatter",1327903478306
stopped,bundle,org.eclipse.dltk.validators.externalchecker,3.0.0.v20110423,"org.eclipse.dltk.validators.externalchecker",1327903478306
stopped,bundle,org.eclipse.dltk.validators.ui,3.0.0.v20110423,"org.eclipse.dltk.validators.ui",1327903478306
stopped,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1327903478309
stopped,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1327903478309
stopped,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.100.v201103232243,"org.eclipse.wst.jsdt.debug.ui",1327903478309
stopped,bundle,org.eclipse.wst.jsdt.support.firefox,1.0.400.v201008112000,"org.eclipse.wst.jsdt.support.firefox",1327903478309
stopped,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1327903478309
stopped,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1327903478331
